"deviceId","locationId","desc","lat","lon","area","areatype","town","county","project_name"
"7737132222","TW020101A0201227","柏昇 / SAQ-200-002","25.08876","121.69755","六堵科技園區","鄰近工業區社區","七堵區","基隆市","107年度基隆市空氣品質感測物聯網布建計畫"
"7733550055","TW020101D0201288","柏昇 / SAQ-200-002","25.14657","121.70029","基隆市人工測站","輔助區","安樂區","基隆市","107年度基隆市空氣品質感測物聯網布建計畫"
"7728354150","TW020101A0201276","柏昇 / SAQ-200-002","25.0947","121.702","六堵科技園區","工業區","七堵區","基隆市","107年度基隆市空氣品質感測物聯網布建計畫"
"7732055920","TW020101A0201201","柏昇 / SAQ-200-002","25.14707","121.6998","大武崙工業區","工業區","安樂區","基隆市","107年度基隆市空氣品質感測物聯網布建計畫"
"7734031715","TW020101A0201245","柏昇 / SAQ-200-002","25.09297","121.69973","六堵科技園區","工業區","七堵區","基隆市","107年度基隆市空氣品質感測物聯網布建計畫"
"7727045205","TW020101A0201228","柏昇 / SAQ-200-002","25.14111","121.70403","大武崙工業區","鄰近工業區社區","安樂區","基隆市","107年度基隆市空氣品質感測物聯網布建計畫"
"7734638803","TW020101D0201289","柏昇 / SAQ-200-002","25.09307","121.73484","基隆市人工測站","輔助區","暖暖區","基隆市","107年度基隆市空氣品質感測物聯網布建計畫"
"7727545245","TW020101A0201241","柏昇 / SAQ-200-002","25.135264","121.796287","六堵科技園區","工業區","中正區","基隆市","107年度基隆市空氣品質感測物聯網布建計畫"
"7736963186","TW020101A0201251","柏昇 / SAQ-200-002","25.14314","121.69878","大武崙工業區","工業區","安樂區","基隆市","107年度基隆市空氣品質感測物聯網布建計畫"
"7731797916","TW020101A0201281","柏昇 / SAQ-200-002","25.08494","121.70363","六堵科技園區","工業區","七堵區","基隆市","107年度基隆市空氣品質感測物聯網布建計畫"
"7735610447","TW020101A0201237","柏昇 / SAQ-200-002","25.09499","121.70533","六堵科技園區","工業區","七堵區","基隆市","107年度基隆市空氣品質感測物聯網布建計畫"
